crash_rate,episodes,lambda,mean_discounted_task_return,mean_discounted_theta_star_variation,mean_final_distance_to_pad,mean_final_speed,mean_max_abs_theta_tracking_error,mean_mean_abs_theta_tracking_error,mean_official_return,mean_task_return,mean_theta_star_variation,out_of_bounds_rate,success_rate,truncated_rate,wn,zeta
0.02666666666666667,150,15.0,30.446411463423065,0.23594087689156046,0.275777460022996,0.04550057444728188,0.1335975398784435,0.013943206956814053,116.10084705913903,127.58062246777973,1.7577683082395643,0.08,0.7,0.19333333333333333,4.0,0.3
0.02,150,15.0,30.826426725023726,0.25300403515208825,0.2717245152523503,0.0442183159091345,0.13061513753630932,0.013726304491006841,116.73136235859381,130.82228828229782,1.9490587837866649,0.08,0.72,0.18,6.0,0.3
0.02,150,15.0,31.037975761900768,0.27048172318377944,0.2691529517105012,0.04010803010524427,0.13229122499537055,0.014785113948015714,115.02853988759188,131.21516649770652,2.127928913808934,0.07333333333333333,0.7133333333333334,0.19333333333333333,8.0,0.3
0.02666666666666667,150,15.0,31.20590143252737,0.28189687771755206,0.2669624351813919,0.045677123839804705,0.1428152277073303,0.016218310995998908,109.60264977477976,126.87210705594572,2.2190270850990745,0.07333333333333333,0.7,0.2,10.0,0.3
0.006666666666666667,150,15.0,31.48749484781675,0.28580711097254324,0.25689746954418013,0.03621761496565079,0.13664728943840532,0.01804552453891496,116.92513321388829,134.84001092240834,2.2730334702201107,0.06666666666666667,0.7266666666666667,0.2,12.0,0.3
0.06,150,15.0,22.32480016133543,0.1808097038125167,0.4946738728888399,0.15685010663443003,0.19570540518975185,0.04936736290653786,66.1332961160003,67.61488404617829,1.165518348033582,0.24,0.56,0.14,0.5,0.7
0.04666666666666667,150,15.0,25.428008442255408,0.2116840360429669,0.36523517700456715,0.09844337094126747,0.1634225880619603,0.030056869332314804,94.77130825599649,102.79686066960787,1.4933662471537226,0.14666666666666667,0.6533333333333333,0.15333333333333332,1.0,0.7
0.02,150,15.0,28.182889900501994,0.22965111352714027,0.29544513582579074,0.06543849420309601,0.14214466488586236,0.02164700070334001,112.00685586273086,123.1921138699019,1.6979422455781326,0.1,0.7066666666666667,0.17333333333333334,2.0,0.7
0.02,150,15.0,29.65686034888248,0.2558864883967452,0.2830401383032366,0.053633058483846696,0.1359119423755287,0.017694754055542137,112.65834655097565,127.44671164438051,1.9763835247059913,0.08666666666666667,0.7133333333333334,0.18,4.0,0.7
0.013333333333333334,150,15.0,30.121556256858323,0.2724067374096391,0.27670158496337405,0.0480031775907781,0.1347653341434735,0.016051625278671044,109.5410275282662,126.284567628001,2.1369541849935896,0.08666666666666667,0.6933333333333334,0.20666666666666667,6.0,0.7
0.02,150,15.0,30.330680727567294,0.277922219351337,0.27710461844376333,0.04871093978906049,0.13630431921569955,0.01571276534751631,106.63186711581484,124.20106089280935,2.206258043751717,0.08666666666666667,0.6866666666666666,0.20666666666666667,8.0,0.7
0.02,150,15.0,30.52180778364681,0.28267010694396666,0.27677080960708594,0.0461818631558419,0.13452805364956583,0.015623588926991758,111.68224060422489,129.38481786003274,2.1997330713167336,0.08,0.7066666666666667,0.19333333333333333,10.0,0.7
0.006666666666666667,150,15.0,30.57029944108696,0.2856776213433837,0.2759067199902876,0.04563040278863421,0.13409652327442673,0.015000072814480493,110.35176721588762,128.443816340588,2.247815212813235,0.08666666666666667,0.6933333333333334,0.21333333333333335,12.0,0.7
0.06,150,15.0,21.262338955409767,0.1907767032495897,0.5278445500167308,0.16020390510149615,0.19316350190979795,0.04708639502260813,55.82592250543769,60.29319676167357,1.228164038899267,0.25333333333333335,0.54,0.14666666666666667,0.5,1.0
0.04,150,15.0,23.996429138786663,0.2141518964099782,0.41795458084444564,0.11521875957590287,0.15316982879580643,0.03376074695495563,83.84504442333484,92.76448536439513,1.4717631661829538,0.2,0.6333333333333333,0.12666666666666668,1.0,1.0
