checkpoint,controller,crash_rate,enable_wind,episodes,ever_both_legs_contact_rate,final_both_legs_contact_rate,gamma,gravity,lambda_label,lambda_value,landing_candidate_rate,log_path,mean_both_legs_contact_fraction,mean_common_task_return,mean_discounted_common_task_return,mean_discounted_theta_star_variation,mean_discounted_train_like_return,mean_final_abs_theta,mean_final_abs_theta_tracking_error,mean_final_distance_to_pad,mean_final_main_power,mean_final_speed,mean_length,mean_low_velocity_fraction,mean_max_abs_theta_tracking_error,mean_mean_abs_side_cmd,mean_mean_abs_theta,mean_mean_abs_theta_star,mean_mean_abs_theta_star_dot_hat,mean_mean_abs_theta_tracking_error,mean_mean_distance_to_pad,mean_mean_main_power,mean_mean_side_power,mean_mean_speed,mean_min_distance_to_pad,mean_official_return,mean_theta_star_variation,mean_train_like_return,official_success_rate,out_of_bounds_rate,reduced_success_rule_rate,scenario,seed_file,side_sign,sweep_wn,sweep_zeta,theta_limit_deg,truncated_rate,turbulence_power,variation_lambda,wind_power
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.02666666666666667,False,150,0.94,0.8,0.99,-10.0,0,0.0,0.7733333333333333,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p7_wn2.log,0.08168644051044877,134.86480338257758,36.873325107302435,0.2439636057571418,34.881501031296516,0.04009055681851654,0.048326089214531166,0.24028508066694787,0.08794212539563886,0.052094432951715626,693.7333333333333,0.18455061581103227,0.17753399061296066,0.5280615514200009,0.041232937018927864,0.0342091350930215,0.032238221864491226,0.02723721968497442,0.5128626589088063,0.5230377860914938,0.5280615514200009,0.17586770934035414,0.13725831342619324,124.20649184875813,1.6494602907385305,120.99013671591102,0.7666666666666667,0.06666666666666667,0.7666666666666667,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,2.0,0.7,20.0,0.14,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.02666666666666667,False,150,0.9533333333333334,0.8466666666666667,0.99,-10.0,0,0.0,0.8333333333333334,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p7_wn4.log,0.07974018551514848,149.64308684988794,38.658604828588395,0.2708671239785513,36.66401423859454,0.053409983146951466,0.058495540495706703,0.18531580784454613,0.07058741685003042,0.032169903810548926,705.2,0.19686424183281404,0.17708107625511374,0.6941931996332857,0.0372773416939082,0.03039013658950438,0.03287087247467715,0.02111169108987366,0.4825409915825033,0.5252525728518246,0.6941931996332857,0.16113556543714888,0.11297153554947272,135.26642656954257,1.8941324100369215,135.53908684988806,0.8333333333333334,0.02666666666666667,0.8333333333333334,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,4.0,0.7,20.0,0.11333333333333333,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.006666666666666667,False,150,0.9533333333333334,0.8266666666666667,0.99,-10.0,0,0.0,0.8066666666666666,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p7_wn6.log,0.07880788785987985,153.23282390719177,39.07469852755704,0.28581763297593465,37.079829403045515,0.03463463113095107,0.03605123016590617,0.17422383773129688,0.07840572519227862,0.025208830795070827,712.44,0.19727810828671788,0.15706467447357506,0.7796451944481815,0.036346156612448915,0.029589572067970447,0.0335317871948403,0.019306683597622925,0.47624211962953295,0.5252211942977479,0.7796451944481815,0.15853480129901962,0.10470337326868397,136.88406656008286,2.0399973068554638,138.98402390719193,0.82,0.02,0.82,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,6.0,0.7,20.0,0.15333333333333332,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.02,False,150,0.9466666666666667,0.8533333333333334,0.99,-10.0,0,0.0,0.8266666666666667,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p7_wn8.log,0.08023337206625086,154.57383971382689,39.279008511506795,0.2946159688003593,37.28442753515915,0.030796850237699496,0.032999706704453596,0.17477557871224367,0.06994073210904996,0.017972539524059267,706.2933333333333,0.19657958918146184,0.155827617984206,0.8168926386083305,0.035751768938778114,0.02949356650968313,0.03390786370393587,0.018630428815722713,0.47454168530957647,0.5249256051539138,0.8168926386083305,0.15837769956313189,0.10271293084055953,137.56006903233282,2.0574102301962514,140.4479730471604,0.8266666666666667,0.02666666666666667,0.8266666666666667,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,8.0,0.7,20.0,0.12666666666666668,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.013333333333333334,False,150,0.9533333333333334,0.8866666666666667,0.99,-10.0,0,0.0,0.8533333333333334,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p7_wn10.log,0.07879939566997261,157.72796133302742,39.389589289859806,0.29786702822331573,37.39485158227824,0.027846676251792813,0.028353866314535014,0.16262200479029937,0.05961054709623568,0.01690022714852353,718.0933333333334,0.20367766101624496,0.14892837107343443,0.8378673949489968,0.035186232353282755,0.028783255764217718,0.03411275870775578,0.017828760905778788,0.4717094336554121,0.5262730290543275,0.8378673949489968,0.1550933711281096,0.10188458248103509,140.04303950090664,2.1341513860136856,143.3660946663609,0.8333333333333334,0.006666666666666667,0.8333333333333334,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,10.0,0.7,20.0,0.14666666666666667,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.02,False,150,0.94,0.8533333333333334,0.99,-10.0,0,0.0,0.8333333333333334,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta0p7_wn12.log,0.08049451966097763,153.43847075092023,39.476351724649675,0.30024370930319105,37.48159964050873,0.03867059456680991,0.04224790319648335,0.16946030538108636,0.06731669090688229,0.020695505714849252,708.8333333333334,0.19793720623050665,0.16111502312571926,0.8476725692440423,0.036191856745720945,0.029043493245342795,0.03455757652930489,0.019132649837290596,0.4724222503896912,0.5246472761789062,0.8476725692440423,0.15692136095289794,0.1016837184011911,135.73496885958255,2.1198353190219454,139.26180408425373,0.8266666666666667,0.02666666666666667,0.8266666666666667,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,12.0,0.7,20.0,0.12666666666666668,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.07333333333333333,False,150,0.66,0.5533333333333333,0.99,-10.0,0,0.0,0.5266666666666666,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta1_wn0p5.log,0.0603209292973969,45.25116272220234,25.030340574261768,0.1986883881623581,23.110769513037244,0.09272348877881692,0.10373161469504218,0.5994523768797154,0.2412710005013893,0.16773168702928984,549.0866666666667,0.11700205431301831,0.2093068086602939,0.2441658654480537,0.043986413801295046,0.06463742025299817,0.028167379744517204,0.060884458427433806,0.7370115428925836,0.5321371522590226,0.2441658654480537,0.28313006769697635,0.46849887132221224,41.54940721209982,1.0797368412188337,34.26942938886898,0.5333333333333333,0.32666666666666666,0.5333333333333333,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,0.5,1.0,20.0,0.06666666666666667,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.06666666666666667,False,150,0.86,0.68,0.99,-10.0,0,0.0,0.6533333333333333,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta1_wn1.log,0.07609529214361635,83.5247690371428,31.421691654922665,0.2253290348427269,29.452153622113777,0.09281757216716102,0.10311921674628655,0.4182973384997456,0.15476787514984608,0.1211966794271279,635.4133333333333,0.13748006708837224,0.21978319218388256,0.46611707539848274,0.04838527860971698,0.04822284023173771,0.0315692420806754,0.04456647722397498,0.6248375604822598,0.5234977978362192,0.46611707539848274,0.2225718707401393,0.2858515774719237,75.05578757301417,1.4265610240420195,70.81650237047619,0.64,0.18,0.64,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,1.0,1.0,20.0,0.11333333333333333,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.04,False,150,0.9266666666666666,0.7933333333333333,0.99,-10.0,0,0.0,0.7666666666666667,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta1_wn2.log,0.07832490474666831,126.28668698238509,35.583701924908056,0.2497849733507158,33.59460371048862,0.053139532205314026,0.059763525039238534,0.27154475877703116,0.10876359863206744,0.06461786049657836,688.4666666666667,0.16620767692427285,0.1909843883277845,0.5984761051444453,0.04370904858850655,0.03740140539298335,0.03332432604309979,0.03164820735707598,0.5283734023218678,0.5257908429966013,0.5984761051444453,0.18754550897637562,0.15182134404460063,114.26603190868661,1.7172458373998696,112.51735364905186,0.7666666666666667,0.08,0.7666666666666667,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,2.0,1.0,20.0,0.11333333333333333,1.5,0.0,15.0
C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\reduced_order_lander_lam0_from_base_12upd_lam0_20260529_155530\final_model.pt,pd,0.02,False,150,0.9333333333333333,0.8066666666666666,0.99,-10.0,0,0.0,0.7866666666666666,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\official_reset_deployment_eval\full_150eps_all_lambda_all_gains\lambda_0\full_eval\logs\0_zeta1_wn4.log,0.08306284666110604,142.33966778170114,37.92897934449756,0.28064919900697777,35.934017105369634,0.04965496552926197,0.05640183151717262,0.21724963240340125,0.08506877561099828,0.044487791472290504,705.8933333333333,0.18845817423735678,0.1800123250325542,0.7568793922337712,0.040446191789674506,0.032223243047150164,0.0343197369130108,0.026011457916541796,0.4946418867018938,0.5228627411367316,0.7568793922337712,0.16813818566012534,0.11839018367026355,126.66207396345601,1.982656458597284,128.22180111503462,0.8133333333333334,0.04666666666666667,0.8133333333333334,nominal,C:\Users\rabiei\My Research\reduced_order_lunar_lander_runs\lambda_sweep_deployment_fixed_seeds_333.npy,-1,4.0,1.0,20.0,0.12,1.5,0.0,15.0
