common_success_mean,common_success_std,crash_mean,crash_std,on_pad_mean,on_pad_std,both_legs_mean,both_legs_std,low_velocity_mean,low_velocity_std,low_omega_mean,low_omega_std,final_x_abs_mean,final_x_abs_std,touchdown_speed_mean,touchdown_speed_std,episode_length_mean,episode_length_std,return_sum_mean,return_sum_std,regime,source,num_episodes
0.15822784810126583,0.3649545124895821,0.13291139240506328,0.33947894511149074,0.3670886075949367,0.48201095606733596,0.5126582278481012,0.4998397435856272,0.9113924050632911,0.2841765103878943,0.8544303797468354,0.3526742206520262,0.32927501372863316,0.24732383101046349,0.0732530406547481,0.20415823381342327,369.06962025316454,121.81632350390358,181.84492322274986,122.64955226623813,hard,original_eval_common,158
0.17721518987341772,0.3818507121265406,0.34810126582278483,0.47636831816920794,0.2848101265822785,0.451323961671065,0.45569620253164556,0.4980333056431899,0.7531645569620253,0.43117016025952143,0.6772151898734177,0.4675412029737363,0.4874656401468512,0.3544754501040241,0.215399455802608,0.2531384756344186,558.5126582278481,230.27910245969494,31.016607969784996,148.43842532826764,hard,reduced_eval_common,158
0.12658227848101267,0.3325044439636378,0.0759493670886076,0.2649170827399538,0.6265822784810127,0.483711615298367,0.36075949367088606,0.4802208673071299,1.0,0.0,0.9430379746835443,0.2317700433367159,0.18859084952575497,0.10245679472375772,0.014812041208904708,0.04004057578598841,772.7341772151899,193.9220911590861,136.89656391827307,72.08675685877813,nominal,full_eval_adaptive_bias_common,158
0.10126582278481013,0.3016803870332401,0.08860759493670886,0.28417651038789427,0.6075949367088608,0.4882861144806559,0.34810126582278483,0.4763683181692079,1.0,0.0,0.9240506329113924,0.2649170827399538,0.1871149204199827,0.09694741826374323,0.0165436251662064,0.044469338860009,764.4303797468355,193.84580088335406,136.14763056306418,76.70346854457183,nominal,full_eval_adaptive_gain_common,158
0.15822784810126583,0.3649545124895821,0.12658227848101267,0.3325044439636378,0.6329113924050633,0.48201095606733596,0.43670886075949367,0.49597805565734343,1.0,0.0,0.9113924050632911,0.2841765103878943,0.19141119371958168,0.13188144395794765,0.018719156964143138,0.04952565589672053,766.9746835443038,193.01049192204152,129.54111004554542,84.11735810119525,nominal,full_eval_pd_common,158
0.45569620253164556,0.4980333056431899,0.0,0.0,0.7088607594936709,0.454287555567756,0.6708860759493671,0.4698914226144453,1.0,0.0,1.0,0.0,0.1589161592971863,0.07751342578669645,1.950485614652228e-05,0.00017699902462199208,400.65822784810126,145.16240456166776,248.5624138895012,23.631966836797563,nominal,original_eval_common,158
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10061748068090054,0.06356204113544664,0.0,0.0,666.8037974683544,160.62332928198776,225.89849779890247,29.728451462792133,nominal,reduced_eval_common,158
0.0759493670886076,0.2649170827399538,0.25316455696202533,0.43482440600804223,0.25949367088607594,0.4383568245803239,0.41139240506329117,0.49208606373228264,0.7784810126582279,0.41526897980567723,0.7721518987341772,0.4194440892602757,0.5047906599850452,0.3318616622434241,0.19717642931020601,0.26828373590617516,556.3860759493671,251.6055714875749,28.666104168219757,153.30467729052012,windy,full_eval_adaptive_bias_common,158
0.06329113924050633,0.2434858741983714,0.2721518987341772,0.44506768333542185,0.25316455696202533,0.43482440600804223,0.3987341772151899,0.4896378591732011,0.7848101265822784,0.4109540020442513,0.7721518987341772,0.4194440892602757,0.4985413929481425,0.33259002457543557,0.19092763650007757,0.26802335898456586,555.0506329113924,247.912877649917,25.81027436636818,152.57967932036183,windy,full_eval_adaptive_gain_common,158
0.056962025316455694,0.2317700433367159,0.2848101265822785,0.451323961671065,0.26582278481012656,0.44177033839532015,0.4620253164556962,0.49855583780526525,0.7721518987341772,0.4194440892602757,0.7468354430379747,0.43482440600804223,0.5032492792587492,0.33887228400260094,0.1958729683480241,0.2742237658880329,547.1645569620254,249.52280687114427,21.455535726154,150.94865008568323,windy,full_eval_pd_common,158
